batting_team,bowling_team,venue,toss_winner,toss_decision,team1_win_pct,team2_win_pct,toss_win_match_win,target
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0.5027932960893855,0.4759916492693111,0,1
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0.4759916492693111,0.5027932960893855,0,0
Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,0.5614035087719298,0.4473684210526316,1,1
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,0.4473684210526316,0.5614035087719298,1,0
Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla,Rajasthan Royals,bat,0.49269311064718163,0.4452690166975881,0,0
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,0.4452690166975881,0.49269311064718163,0,1
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,0.5390070921985816,0.4759916492693111,0,0
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,0.4759916492693111,0.5390070921985816,0,1
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Sunrisers Hyderabad,bat,0.4500907441016334,0.5027932960893855,0,0
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,bat,0.5027932960893855,0.4500907441016334,0,1
Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,bat,0.4473684210526316,0.49269311064718163,0,0
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,0.49269311064718163,0.4473684210526316,0,1
Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,0.4500907441016334,0.4452690166975881,0,0
Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,0.4452690166975881,0.4500907441016334,0,1
